id	sex	rs	trt
1001	Female	29	1
1002	Female	16	1
1003	Female	22	1
1004	Female	22	1
1005	Female	20	1
1006	Female	19	1
1007	Female	8	1
1008	Female	18	1
1009	Female	28	1
1010	Female	17	1
2001	Male	29	1
2002	Male	16	1
2003	Male	22	1
2004	Male	22	1
2005	Male	20	1
2006	Male	19	1
2007	Male	8	1
2008	Male	18	1
2009	Male	28	1
2010	Male	17	1
1001	Female	20	2
1002	Female	16	2
1003	Female	27	2
1004	Female	18	2
1005	Female	18	2
1006	Female	17	2
1007	Female	17	2
1008	Female	11	2
1009	Female	25	2
1010	Female	23	2
2001	Male	17	2
2002	Male	20	2
2003	Male	22	2
2004	Male	24	2
2005	Male	20	2
2006	Male	17	2
2007	Male	5	2
2008	Male	23	2
2009	Male	45	2
2010	Male	2	2
1001	Female	20	3
1002	Female	13	3
1003	Female	20	3
1004	Female	22	3
1005	Female	14	3
1006	Female	20	3
1007	Female	17	3
1008	Female	10	3
1009	Female	28	3
1010	Female	28	3
2001	Male	10	3
2002	Male	7	3
2003	Male	10	3
2004	Male	7	3
2005	Male	15	3
2006	Male	34	3
2007	Male	16	3
2008	Male	36	3
2009	Male	53	3
2010	Male	0	3
1001	Female	24	4
1002	Female	11	4
1003	Female	22	4
1004	Female	21	4
1005	Female	15	4
1006	Female	19	4
1007	Female	23	4
1008	Female	11	4
1009	Female	34	4
1010	Female	21	4
2001	Male	14	4
2002	Male	16	4
2003	Male	15	4
2004	Male	20	4
2005	Male	17	4
2006	Male	7	4
2007	Male	15	4
2008	Male	32	4
2009	Male	47	4
2010	Male	10	4
1001	Female	23	5
1002	Female	21	5
1003	Female	25	5
1004	Female	31	5
1005	Female	19	5
1006	Female	20	5
1007	Female	8	5
1008	Female	6	5
1009	Female	30	5
1010	Female	17	5
2001	Male	10	5
2002	Male	16	5
2003	Male	14	5
2004	Male	7	5
2005	Male	20	5
2006	Male	6	5
2007	Male	10	5
2008	Male	21	5
2009	Male	22	5
2010	Male	0	5
2011	Male	10	5
2012	Male	10	5
2013	Male	5	5
2014	Male	0	5
2015	Male	5	5
2016	Male	1	5
2017	Male	11	5
2018	Male	20	5
2019	Male	13	5
2020	Male	2	5
1001	Female	23	6
1002	Female	21	6
1003	Female	24	6
1004	Female	31	6
1005	Female	26	6
1006	Female	20	6
1007	Female	10	6
1008	Female	6	6
1009	Female	28	6
1010	Female	17	6
2001	Male	10	6
2002	Male	16	6
2003	Male	13	6
2004	Male	8	6
2005	Male	20	6
2006	Male	6	6
2007	Male	10	6
2008	Male	21	6
2009	Male	22	6
2010	Male	0	6
2011	Male	10	6
2012	Male	10	6
2013	Male	6	6
2014	Male	0	6
2015	Male	4	6
2016	Male	0	6
2017	Male	11	6
2018	Male	20	6
2019	Male	13	6
2020	Male	2	6
